State,temp
Alabama,0.23059866962305986
Arizona,0.35443037974683544
Arkansas,0.12735166425470332
California,0.3835227272727273
Colorado,0.32286995515695066
Connecticut,0.3383458646616541
Delaware,0.2857142857142857
Florida,0.7483370288248337
Georgia,0.27393617021276595
Hawaii,0.28
Idaho,0.03954802259887006
Illinois,0.15245737211634905
Indiana,0.2108294930875576
Iowa,0.6206261510128913
Kansas,0.14150943396226415
Kentucky,0.19662243667068757
Louisiana,0.3623693379790941
Maine,0.21052631578947367
Maryland,0.010526315789473684
Massachusetts,0.17768595041322313
Michigan,0.15274803711634546
Minnesota,0.0
Mississippi,0.1880108991825613
Missouri,0.21708185053380782
Montana,0.0
